metric_context,metric_name,higher_is_better,full_system,raw_deepseek_v4_flash,llm_only_multiagent_notebook_dataset,llm_only_multiagent_pro_existing
reference_similarity,alignscore_base,True,0.3986203670501709,0.3077789843082428,,
reference_similarity,bertscore_f1,True,0.8516890406608582,0.8503757119178772,0.8317869305610657,0.8548081517219543
reference_similarity,bleu,True,0.10713396577069385,0.13571385795307442,0.0362636519880437,0.052466958174017385
reference_similarity,chrf,True,0.41657947836080633,0.3859633596081627,0.18351350347182457,0.2579791988997168
reference_similarity,corpus_bleu,True,0.10713396577069385,0.13571385795307442,0.0362636519880437,0.052466958174017385
reference_similarity,corpus_chrf,True,0.41657947836080633,0.3859633596081627,0.18351350347182457,0.2579791988997168
reference_similarity,corpus_ter,False,0.9099099099099099,0.8138138138138138,0.8558558558558559,0.8018018018018018
reference_similarity,hhem_2_1_open_mean_support,True,0.2689737917512263,0.25042747240513563,,
reference_similarity,hhem_2_1_open_min_sentence_support,True,0.004518402274698019,0.006226181983947754,,
reference_similarity,hhem_2_1_open_unsupported_sentence_rate,False,0.7368421052631579,0.7692307692307693,,
reference_similarity,meteor,True,0.2579959612150574,0.25340667098202563,0.11113554072329102,0.15840921034203792
reference_similarity,rouge1,True,0.4714946070878274,0.5141776937618147,0.32061068702290074,0.4223300970873786
reference_similarity,rouge2,True,0.1545595054095827,0.18975332068311196,0.1534526854219949,0.21951219512195125
reference_similarity,rougeL,True,0.23112480739599384,0.32136105860113423,0.2340966921119593,0.3058252427184466
reference_similarity,rougeLsum,True,0.23112480739599384,0.32136105860113423,0.2340966921119593,0.3058252427184466
reference_similarity,ter,False,0.9099099099099099,0.8138138138138138,0.8558558558558559,0.8018018018018018
source_grounded,alignscore_base,True,0.1908254772424698,0.18021351099014282,,
source_grounded,hhem_2_1_open_mean_support,True,0.20646554153216512,0.16620834085803765,0.21999916607247932,0.18076650868169963
source_grounded,hhem_2_1_open_min_sentence_support,True,0.008333902806043625,0.011255212128162384,0.011960732750594616,0.008325264789164066
source_grounded,hhem_2_1_open_unsupported_sentence_rate,False,0.7894736842105263,0.7692307692307693,0.7142857142857143,0.75
